compound,smiles,source_row,duplicate_name_count
Chrysophanol,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,1165,1
Tangeretin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,406,1
Nobiletin,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,235,1
Lycopene,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\CCC=C(C)C)/C)/C)/C)/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C,188,1
Diosmin,COc1ccc(cc1O)c1cc(=O)c2c(o1)cc(cc2O)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O,24,1
"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",CC1(C2CCC1(C(=O)C2)C)C,745,1
Camphor,O=C1C[C@@H]2C([C@@]1(C)CC2)(C)C,1134,1
Limonin,CC1(C2CC(=O)C3(C(C24COC(=O)CC4O1)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C,176,2
Hesperetin,COc1ccc(cc1O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,111,1
Icosapent,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,128,1
Octopamine,C1=CC(=CC=C1C(CN)O)O,246,1
Beta Carotene,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,1102,1
Citral,CC(=CCCC(=CC=O)C)C,1170,1
Naringin,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,229,1
Tyramine,C1=CC(=CC=C1CCN)O,447,2
Sinensetin,COc1ccc(cc1OC)c1cc(=O)c2c(o1)cc(c(c2OC)OC)OC,389,1
Sinapinate,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,388,1
Coumaric Acid,C1=CC(=CC=C1C=CC(=O)O)O,1183,1
Styrene,C=CC1=CC=CC=C1,400,1
Obacunone,O=C1C=C[C@]2([C@H](C(O1)(C)C)CC(=O)[C@@]1([C@@H]2CC[C@@]2([C@]31O[C@@H]3C(=O)O[C@H]2c1ccoc1)C)C)C,243,1
Geraniol,CC(=CCCC(=CCO)C)C,97,1
Eupatilin,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC,62,1
Nomilin,CC(=O)O[C@H]1CC(=O)OC([C@H]2[C@@]1(C)[C@H]1CC[C@@]3([C@]4([C@@]1(C(=O)C2)C)O[C@@H]4C(=O)O[C@@H]3c1ccoc1)C)(C)C,476,2
Quercetagetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,334,1
Hesperidin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,112,1
"5-Hydroxy-6,7,8,3',4'-Pentamethoxyflavone",COc1cc(OC)c2c(c1)[C@H](OC2=O)c1c(OC)cc(cc1OC)C(=O)OC,754,1
Strictinin,O[C@H]1[C@@H](O[C@H]2[C@H]([C@@H]1O)OC(=O)c1cc(O)c(c(c1c1c(C(=O)OC2)cc(c(c1O)O)O)O)O)OC(=O)c1cc(O)c(c(c1)O)O,595,1
Paeoniflorin,OC[C@H]1O[C@@H](O[C@]23C[C@H]4[C@@]3(COC(=O)c3ccccc3)[C@@H]3O[C@@]2(C)C[C@]4(O3)O)[C@@H]([C@H]([C@@H]1O)O)O,268,2
Albiflorin,OC[C@H]1O[C@@H](OC23CC4C3(COC(=O)c3ccccc3)C(=O)OC2(C)CC4O)[C@@H]([C@H]([C@@H]1O)O)O,642,2
Benzoic Acid,OC(=O)c1ccccc1,1091,1
Cianidanol,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1166,1
Propyl Gallate,CCCOC(=O)c1cc(O)c(c(c1)O)O,312,1
Pyrogallol,Oc1c(O)cccc1O,332,1
Baicalein,COc1c(O[C@@H]2O[C@H](C(=O)[O-])[C@@H]([C@@H]([C@H]2O)O)O)cc2c(c1O)c(=O)cc(o2)c1ccccc1,689,2
Baicalin,[O-]C(=O)[C@@H]1O[C@H](Oc2cc3oc(cc(=O)c3c(c2O)O)c2ccccc2)[C@H]([C@@H]([C@H]1O)O)O,697,2
Hydroquinone,C1=CC(=CC=C1O)O,121,1
Wogonin,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,465,1
