repeat_a,repeat_b,k,mean_nn_jaccard,std_nn_jaccard_across_records
repeat_05,repeat_10,50,0.4550680379387267,0.15331418246575124
repeat_05,repeat_10,100,0.5298110965158478,0.13953814392157315
repeat_05,repeat_10,200,0.6042997359875873,0.11772772038369764
repeat_06,repeat_07,5,0.19292460317460317,0.16338771654551548
repeat_06,repeat_07,10,0.24670520063012322,0.15022764995104979
repeat_06,repeat_07,20,0.3181433812382181,0.15019495171597316
repeat_06,repeat_07,50,0.4287939826917561,0.16034782747450527
repeat_06,repeat_07,100,0.5040553672294925,0.14450103231699582
repeat_06,repeat_07,200,0.5813072912786861,0.12345160406609056
repeat_06,repeat_08,5,0.2008511904761905,0.16671713256942214
repeat_06,repeat_08,10,0.26276704693655156,0.15139177871170997
repeat_06,repeat_08,20,0.3307412635488789,0.14741436626832335
repeat_06,repeat_08,50,0.43603434536121527,0.15341500271931008
repeat_06,repeat_08,100,0.5107348162102652,0.1374368303141944
repeat_06,repeat_08,200,0.5854875524804766,0.11769744839737413
repeat_06,repeat_09,5,0.18994642857142854,0.1674936235956465
repeat_06,repeat_09,10,0.2444962860926483,0.15232526011324474
repeat_06,repeat_09,20,0.31591714065961357,0.15249219925452018
repeat_06,repeat_09,50,0.42810285931742,0.1605868975394521
repeat_06,repeat_09,100,0.5052842144373547,0.1473263867130983
repeat_06,repeat_09,200,0.580949762707744,0.1268274662299026
repeat_06,repeat_10,5,0.20859126984126986,0.1718147245279703
repeat_06,repeat_10,10,0.268450644084158,0.15524608465469888
repeat_06,repeat_10,20,0.33684780022270094,0.14995997142123377
repeat_06,repeat_10,50,0.44485621323853297,0.15375352077762325
repeat_06,repeat_10,100,0.5218802124329193,0.1377953245300751
repeat_06,repeat_10,200,0.5987718143592708,0.11621268556970063
repeat_07,repeat_08,5,0.19879166666666667,0.16871825109189195
repeat_07,repeat_08,10,0.25375276546638775,0.15532285321027647
repeat_07,repeat_08,20,0.32040786807167587,0.15198887439045977
repeat_07,repeat_08,50,0.42256127271077804,0.15425150624768488
repeat_07,repeat_08,100,0.49619059670020865,0.13949288236714844
repeat_07,repeat_08,200,0.5728258492505611,0.12122118651795895
repeat_07,repeat_09,5,0.18916468253968252,0.16584940598046674
repeat_07,repeat_09,10,0.2377873913152551,0.1506511920567268
repeat_07,repeat_09,20,0.31065575549073904,0.15388321144841005
repeat_07,repeat_09,50,0.41940735116247285,0.1601967314335575
repeat_07,repeat_09,100,0.49535365742868276,0.14412754925488208
repeat_07,repeat_09,200,0.5751150407019615,0.12422051347204506
repeat_07,repeat_10,5,0.20400198412698411,0.16975421524019232
repeat_07,repeat_10,10,0.2591305306320786,0.14858837251843662
repeat_07,repeat_10,20,0.3352756467467873,0.1514054657147093
repeat_07,repeat_10,50,0.4403210040668782,0.15462861393823432
repeat_07,repeat_10,100,0.5150067090907642,0.13884904291040187
repeat_07,repeat_10,200,0.5933161469512009,0.11748378971317079
repeat_08,repeat_09,5,0.20190476190476186,0.16843162132021627
repeat_08,repeat_09,10,0.2564038783713706,0.1560563336532862
